121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=6.4.2 HTTP/1.1" 200 101269 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef HTTP/1.1" 200 4044 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=6.4.2 HTTP/1.1" 200 35449 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=hoverIntent,wp-polyfill-inert,regenerator-runtime,wp-polyfill,wp-hooks&ver=6.4.2 HTTP/1.1" 200 42674 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-admin/js/common.min.js?ver=6.4.2 HTTP/1.1" 200 7577 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.1" 200 1067 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/js/admin-bar.min.js?ver=6.4.2 HTTP/1.1" 200 1746 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/js/clipboard.min.js?ver=2.0.11 HTTP/1.1" 200 3501 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/js/wp-util.min.js?ver=6.4.2 HTTP/1.1" 200 1105 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:23 +0000] "GET /wp-includes/js/underscore.min.js?ver=1.13.4 HTTP/1.1" 200 7662 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
